TLRD
LATEST_ANNOUNCEMENT_DT
5/16/1996
8/15/1996
11/14/1996
3/5/1997
5/15/1997
8/18/1997
11/18/1997
3/3/1998
5/19/1998
8/18/1998
11/17/1998
3/9/1999
5/20/1999
8/19/1999
11/18/1999
2/29/2000
5/18/2000
8/17/2000
11/16/2000
2/26/2001
5/24/2001
8/23/2001
11/27/2001
2/28/2002
5/23/2002
8/22/2002
11/21/2002
2/26/2003
5/21/2003
8/20/2003
11/19/2003
2/25/2004
5/19/2004
8/18/2004
11/17/2004
3/9/2005
5/18/2005
8/17/2005
11/16/2005
3/1/2006
5/17/2006
8/16/2006
11/15/2006
3/7/2007
5/22/2007
8/22/2007
11/28/2007
3/12/2008
5/28/2008
8/27/2008
11/19/2008
3/11/2009
6/8/2009
9/9/2009
12/8/2009
3/10/2010
6/9/2010
9/8/2010
12/7/2010
3/9/2011
6/8/2011
9/7/2011
12/6/2011
3/7/2012
6/6/2012
9/5/2012
12/5/2012
3/13/2013
6/12/2013
9/11/2013
12/11/2013
3/11/2014
6/5/2014
9/10/2014
12/10/2014
3/11/2015
6/10/2015
9/8/2015
12/9/2015
3/9/2016
06/08/2016
09/07/2016
12/07/2016
03/08/2017
