CORSQ
LATEST_ANNOUNCEMENT_DT
4/16/1996
7/16/1996
10/15/1996
1/14/1997
4/17/1997
7/15/1997
10/14/1997
1/13/1998
4/14/1998
7/17/1998
10/22/1998
1/20/1999
4/16/1999
7/19/1999
10/20/1999
1/27/2000
4/19/2000
7/17/2000
10/16/2000
1/29/2001
4/16/2001
7/16/2001
10/15/2001
1/16/2002
4/16/2002
7/16/2002
10/15/2002
1/15/2003
4/16/2003
7/16/2003
10/20/2003
1/22/2004
4/15/2004
7/19/2004
10/18/2004
1/18/2005
4/15/2005
7/18/2005
10/18/2005
1/17/2006
4/17/2006
7/19/2006
10/17/2006
2/27/2007
4/20/2007
7/23/2007
10/18/2007
1/25/2008
4/30/2008
7/28/2008
10/29/2008
1/30/2009
5/1/2009
9/25/2009
