1348098D
LATEST_ANNOUNCEMENT_DT
4/30/1996
7/29/1996
11/1/1996
2/12/1997
5/2/1997
8/5/1997
10/22/1997
2/3/1998
4/21/1998
7/22/1998
10/21/1998
1/28/1999
4/28/1999
7/28/1999
10/27/1999
2/11/2000
5/2/2000
8/7/2000
11/6/2000
2/28/2001
5/7/2001
8/6/2001
11/12/2001
2/26/2002
5/7/2002
8/8/2002
11/6/2002
2/18/2003
5/12/2003
8/7/2003
11/12/2003
2/18/2004
5/5/2004
8/5/2004
11/8/2004
3/2/2005
5/5/2005
8/8/2005
