HF
LATEST_ANNOUNCEMENT_DT
5/10/2007
8/7/2007
11/8/2007
3/11/2008
5/5/2008
8/5/2008
11/6/2008
3/9/2009
5/4/2009
8/3/2009
11/2/2009
3/8/2010
5/3/2010
8/2/2010
11/1/2010
3/7/2011
5/6/2011
8/2/2011
10/31/2011
3/6/2012
4/30/2012
7/30/2012
11/1/2012
3/6/2013
5/1/2013
7/30/2013
11/4/2013
3/4/2014
4/29/2014
7/31/2014
11/10/2014
2/26/2015
4/29/2015
7/30/2015
11/3/2015
2/23/2016
04/28/2016
07/25/2016
11/02/2016
02/23/2017
04/27/2017
