GGG
LATEST_ANNOUNCEMENT_DT
4/15/1996
7/16/1996
10/10/1996
1/20/1997
4/14/1997
7/11/1997
10/8/1997
1/19/1998
4/14/1998
7/14/1998
10/13/1998
1/20/1999
4/13/1999
7/13/1999
10/12/1999
1/25/2000
4/18/2000
7/18/2000
10/17/2000
1/24/2001
4/17/2001
7/17/2001
10/16/2001
1/23/2002
4/15/2002
7/17/2002
10/17/2002
1/23/2003
4/16/2003
7/17/2003
10/15/2003
1/22/2004
4/15/2004
7/15/2004
10/13/2004
1/27/2005
4/20/2005
7/25/2005
10/24/2005
1/31/2006
4/20/2006
7/26/2006
10/25/2006
1/29/2007
4/24/2007
7/25/2007
10/24/2007
1/28/2008
4/24/2008
7/23/2008
10/22/2008
1/26/2009
4/22/2009
7/22/2009
10/21/2009
1/25/2010
4/21/2010
7/21/2010
10/20/2010
1/31/2011
4/27/2011
7/27/2011
10/26/2011
1/30/2012
4/25/2012
7/25/2012
10/24/2012
1/28/2013
4/24/2013
7/24/2013
10/23/2013
1/27/2014
4/23/2014
7/23/2014
10/22/2014
1/26/2015
4/22/2015
7/22/2015
10/21/2015
1/25/2016
04/20/2016
07/20/2016
10/19/2016
01/30/2017
04/19/2017
