MDC
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/25/1996
10/24/1996
2/4/1997
4/24/1997
10/22/1997
1/22/1998
4/22/1998
7/22/1998
10/21/1998
1/19/1999
4/20/1999
7/19/1999
10/19/1999
1/17/2000
4/17/2000
7/18/2000
10/16/2000
1/16/2001
4/18/2001
7/17/2001
10/16/2001
1/10/2002
4/11/2002
7/16/2002
10/10/2002
1/9/2003
4/9/2003
7/15/2003
10/9/2003
1/12/2004
4/12/2004
7/12/2004
10/11/2004
1/12/2005
4/18/2005
7/14/2005
10/18/2005
1/17/2006
4/19/2006
7/20/2006
10/24/2006
1/25/2007
4/26/2007
7/25/2007
10/24/2007
2/7/2008
4/24/2008
7/31/2008
10/31/2008
2/10/2009
5/8/2009
7/31/2009
10/30/2009
2/5/2010
4/23/2010
7/30/2010
10/29/2010
2/11/2011
5/10/2011
8/4/2011
11/3/2011
2/2/2012
5/3/2012
7/31/2012
11/1/2012
1/31/2013
5/2/2013
7/30/2013
10/29/2013
2/5/2014
5/1/2014
7/29/2014
10/30/2014
1/28/2015
5/5/2015
8/4/2015
10/27/2015
2/3/2016
05/05/2016
08/03/2016
11/01/2016
02/01/2017
05/04/2017
