TECD
LATEST_ANNOUNCEMENT_DT
5/29/1996
9/10/1996
12/3/1996
3/26/1997
5/27/1997
9/4/1997
12/2/1997
3/5/1998
6/2/1998
9/2/1998
12/1/1998
3/30/1999
6/7/1999
9/1/1999
12/1/1999
3/29/2000
6/7/2000
9/5/2000
11/29/2000
3/28/2001
5/30/2001
8/29/2001
11/26/2001
3/21/2002
5/22/2002
8/22/2002
11/25/2002
3/17/2003
5/28/2003
8/27/2003
11/25/2003
3/10/2004
5/26/2004
8/26/2004
11/23/2004
3/10/2005
5/26/2005
8/25/2005
11/22/2005
3/8/2006
5/23/2006
8/23/2006
11/21/2006
3/8/2007
5/22/2007
8/22/2007
11/27/2007
3/4/2008
5/22/2008
8/21/2008
11/25/2008
3/3/2009
5/21/2009
8/20/2009
11/23/2009
3/2/2010
5/21/2010
8/19/2010
11/22/2010
3/1/2011
5/23/2011
8/18/2011
11/21/2011
2/28/2012
5/21/2012
8/21/2012
11/20/2012
3/4/2013
2/25/2014
2/25/2014
2/25/2014
4/9/2014
5/29/2014
8/26/2014
11/25/2014
3/19/2015
5/28/2015
8/20/2015
11/24/2015
3/3/2016
05/26/2016
08/25/2016
11/22/2016
03/08/2017
