SMG
LATEST_ANNOUNCEMENT_DT
4/30/1996
7/18/1996
11/14/1996
1/22/1997
4/23/1997
7/16/1997
10/23/1997
1/22/1998
4/23/1998
7/23/1998
10/22/1998
1/22/1999
4/22/1999
7/22/1999
10/21/1999
1/27/2000
4/26/2000
7/27/2000
10/31/2000
1/25/2001
4/26/2001
7/26/2001
10/30/2001
1/24/2002
4/25/2002
7/25/2002
10/31/2002
1/23/2003
4/24/2003
7/31/2003
10/30/2003
1/27/2004
4/27/2004
7/27/2004
10/28/2004
1/25/2005
4/28/2005
7/28/2005
10/27/2005
1/24/2006
4/27/2006
7/27/2006
10/26/2006
1/23/2007
5/1/2007
7/31/2007
11/1/2007
1/28/2008
5/5/2008
7/31/2008
10/31/2008
2/3/2009
4/28/2009
7/29/2009
11/5/2009
2/2/2010
5/6/2010
8/10/2010
11/4/2010
1/28/2011
5/3/2011
8/8/2011
11/8/2011
2/7/2012
5/8/2012
8/9/2012
11/8/2012
2/6/2013
5/6/2013
8/6/2013
11/7/2013
2/6/2014
5/5/2014
8/5/2014
11/5/2014
2/4/2015
5/5/2015
8/4/2015
11/3/2015
2/2/2016
05/03/2016
08/03/2016
11/03/2016
01/31/2017
05/02/2017
