GBX
LATEST_ANNOUNCEMENT_DT
4/9/1996
7/10/1996
11/7/1996
1/8/1997
4/8/1997
7/9/1997
11/12/1997
1/13/1998
4/7/1998
7/14/1998
11/10/1998
1/12/1999
4/6/1999
7/12/1999
11/9/1999
1/11/2000
4/4/2000
7/11/2000
11/8/2000
1/9/2001
4/3/2001
7/10/2001
11/7/2001
1/8/2002
4/10/2002
7/10/2002
11/6/2002
1/7/2003
4/9/2003
7/9/2003
11/12/2003
1/13/2004
4/14/2004
7/14/2004
11/10/2004
1/10/2005
3/30/2005
6/30/2005
11/2/2005
1/4/2006
4/5/2006
6/28/2006
10/31/2006
1/9/2007
4/4/2007
7/10/2007
11/6/2007
1/8/2008
4/9/2008
7/8/2008
11/6/2008
1/9/2009
4/8/2009
7/7/2009
11/12/2009
1/8/2010
4/7/2010
7/8/2010
11/10/2010
1/7/2011
4/7/2011
7/8/2011
11/3/2011
1/6/2012
4/9/2012
6/28/2012
11/1/2012
1/9/2013
4/4/2013
7/1/2013
10/31/2013
1/8/2014
4/3/2014
7/2/2014
10/30/2014
1/7/2015
4/7/2015
7/1/2015
10/30/2015
1/7/2016
4/5/2016
07/06/2016
10/25/2016
01/06/2017
04/04/2017
