TMAV
LATEST_ANNOUNCEMENT_DT
3/31/1996
7/29/1996
11/14/1996
2/12/1997
4/30/1997
8/4/1997
11/13/1997
3/26/1998
4/30/1998
7/28/1998
11/10/1998
2/10/1999
5/5/1999
8/2/1999
11/12/1999
4/14/2000
5/22/2000
8/14/2000
11/20/2000
4/20/2001
5/21/2001
9/13/2001
11/30/2001
4/22/2002
5/20/2002
8/28/2002
11/14/2002
5/15/2003
6/5/2003
8/15/2003
11/14/2003
4/16/2004
5/13/2004
8/16/2004
11/15/2004
3/30/2005
5/9/2005
8/12/2005
11/10/2005
4/21/2006
5/19/2006
8/14/2006
11/20/2006
