KRC
LATEST_ANNOUNCEMENT_DT
7/28/1997
10/30/1997
2/3/1998
4/28/1998
7/29/1998
10/30/1998
2/4/1999
4/28/1999
7/29/1999
11/3/1999
3/21/2000
5/15/2000
8/14/2000
11/14/2000
3/28/2001
4/30/2001
8/1/2001
10/31/2001
1/30/2002
4/30/2002
7/24/2002
10/28/2002
2/3/2003
4/28/2003
7/29/2003
10/27/2003
2/2/2004
5/4/2004
7/26/2004
10/25/2004
1/31/2005
4/25/2005
7/25/2005
10/31/2005
1/30/2006
4/24/2006
7/24/2006
10/30/2006
2/28/2007
4/24/2007
7/25/2007
10/22/2007
1/28/2008
4/21/2008
7/28/2008
10/27/2008
1/26/2009
4/27/2009
7/27/2009
10/26/2009
1/25/2010
4/28/2010
8/2/2010
10/25/2010
1/31/2011
5/2/2011
7/25/2011
11/1/2011
1/31/2012
4/30/2012
8/1/2012
10/29/2012
1/30/2013
4/30/2013
7/29/2013
10/28/2013
2/3/2014
4/30/2014
7/28/2014
10/28/2014
1/28/2015
4/29/2015
7/29/2015
10/28/2015
2/1/2016
04/27/2016
07/25/2016
10/26/2016
02/06/2017
04/26/2017
