WPP
LATEST_ANNOUNCEMENT_DT
3/19/1996
6/19/1996
9/18/1996
12/16/1996
3/18/1997
6/13/1997
9/17/1997
4/14/1998
7/21/1998
10/14/1998
2/1/1999
4/22/1999
7/20/1999
10/19/1999
1/31/2000
4/20/2000
7/18/2000
10/17/2000
1/30/2001
4/24/2001
7/23/2001
10/17/2001
1/30/2002
4/22/2002
7/22/2002
10/16/2002
1/29/2003
4/21/2003
7/22/2003
10/21/2003
1/28/2004
4/26/2004
7/21/2004
10/19/2004
1/28/2005
4/25/2005
7/25/2005
10/24/2005
2/1/2006
4/25/2006
7/25/2006
10/24/2006
2/1/2007
4/24/2007
7/24/2007
10/23/2007
2/4/2008
4/28/2008
7/28/2008
10/27/2008
2/10/2009
4/27/2009
7/27/2009
10/28/2009
2/8/2010
4/26/2010
7/26/2010
10/27/2010
2/7/2011
4/25/2011
7/30/2012
10/24/2011
2/6/2012
4/30/2012
7/30/2012
10/29/2012
2/11/2013
4/29/2013
7/29/2013
10/28/2013
2/10/2014
5/9/2014
8/7/2014
11/5/2014
2/10/2015
5/7/2015
8/6/2015
11/5/2015
