BSET
LATEST_ANNOUNCEMENT_DT
4/12/1996
7/3/1996
10/11/1996
1/10/1997
4/14/1997
7/9/1997
10/14/1997
1/8/1998
4/7/1998
7/13/1998
10/7/1998
1/14/1999
4/5/1999
6/29/1999
9/28/1999
1/18/2000
3/28/2000
6/27/2000
9/27/2000
2/22/2001
3/27/2001
6/28/2001
9/27/2001
1/16/2002
3/26/2002
6/26/2002
9/27/2002
1/8/2003
3/25/2003
6/25/2003
9/25/2003
1/9/2004
3/25/2004
6/24/2004
9/28/2004
1/10/2005
3/24/2005
6/28/2005
9/28/2005
1/10/2006
3/27/2006
6/27/2006
9/26/2006
1/19/2007
4/2/2007
7/5/2007
10/4/2007
1/29/2008
4/10/2008
7/10/2008
10/9/2008
2/11/2009
4/9/2009
9/14/2009
10/8/2009
1/27/2010
4/8/2010
7/8/2010
10/7/2010
1/27/2011
4/12/2011
7/7/2011
10/6/2011
1/24/2012
4/5/2012
7/5/2012
9/27/2012
2/4/2013
4/4/2013
7/9/2013
10/3/2013
1/22/2014
4/3/2014
7/2/2014
10/2/2014
1/22/2015
4/9/2015
7/1/2015
10/1/2015
1/21/2016
3/31/2016
