CPRT
LATEST_ANNOUNCEMENT_DT
6/4/1996
10/8/1996
12/10/1996
3/11/1997
6/2/1997
10/7/1997
12/8/1997
3/2/1998
6/8/1998
10/14/1998
12/1/1998
3/2/1999
6/1/1999
9/21/1999
11/29/1999
2/28/2000
5/30/2000
9/18/2000
11/27/2000
2/26/2001
5/29/2001
9/17/2001
11/26/2001
2/25/2002
5/21/2002
9/17/2002
11/20/2002
2/18/2003
5/21/2003
9/16/2003
12/3/2003
2/24/2004
5/25/2004
9/14/2004
11/30/2004
3/1/2005
6/1/2005
9/28/2005
12/2/2005
3/7/2006
5/31/2006
10/4/2006
12/5/2006
3/6/2007
6/5/2007
9/26/2007
12/4/2007
3/6/2008
6/3/2008
9/24/2008
12/3/2008
3/4/2009
6/3/2009
9/23/2009
12/1/2009
3/2/2010
6/2/2010
9/22/2010
11/30/2010
3/2/2011
6/1/2011
9/20/2011
11/28/2011
2/28/2012
5/30/2012
9/26/2012
11/27/2012
2/27/2013
5/30/2013
9/24/2013
11/25/2013
2/25/2014
5/28/2014
9/23/2014
11/24/2014
2/24/2015
5/27/2015
9/22/2015
11/23/2015
2/23/2016
05/25/2016
09/20/2016
11/21/2016
02/21/2017
05/24/2017
