APOL
LATEST_ANNOUNCEMENT_DT
12/19/1994
3/20/1995
6/26/1995
10/16/1995
12/21/1995
3/18/1996
6/24/1996
10/21/1996
12/17/1996
3/19/1997
6/17/1997
10/20/1997
12/18/1997
3/23/1998
6/22/1998
10/21/1998
12/17/1998
3/16/1999
6/22/1999
10/14/1999
12/16/1999
3/28/2000
6/27/2000
10/5/2000
12/19/2000
3/27/2001
6/25/2001
10/9/2001
12/18/2001
3/26/2002
6/25/2002
10/8/2002
12/18/2002
3/25/2003
6/23/2003
10/7/2003
12/18/2003
3/12/2004
6/24/2004
10/5/2004
12/16/2004
3/29/2005
6/28/2005
10/12/2005
12/15/2005
3/23/2006
6/20/2006
10/18/2006
2/7/2007
5/21/2007
6/28/2007
10/22/2007
1/8/2008
3/27/2008
7/1/2008
10/28/2008
1/8/2009
3/31/2009
6/29/2009
10/27/2009
1/7/2010
3/29/2010
6/30/2010
10/13/2010
1/10/2011
3/29/2011
6/30/2011
10/19/2011
1/5/2012
3/26/2012
6/25/2012
10/16/2012
1/8/2013
3/25/2013
6/25/2013
10/22/2013
1/7/2014
4/1/2014
6/25/2014
10/21/2014
1/8/2015
3/25/2015
6/29/2015
10/22/2015
01/11/2016
04/06/2016
07/07/2016
10/20/2016
01/09/2017
04/05/2017
