WERN
LATEST_ANNOUNCEMENT_DT
4/15/1996
7/16/1996
10/17/1996
1/24/1997
4/16/1997
7/16/1997
10/15/1997
1/21/1998
4/15/1998
7/16/1998
1/21/1999
4/15/1999
7/16/1999
10/14/1999
1/20/2000
4/14/2000
7/20/2000
10/17/2000
1/26/2001
4/17/2001
7/17/2001
10/16/2001
1/22/2002
4/16/2002
7/16/2002
10/15/2002
1/29/2003
4/15/2003
7/16/2003
10/15/2003
1/28/2004
4/15/2004
7/15/2004
10/14/2004
1/20/2005
4/18/2005
7/18/2005
10/17/2005
1/23/2006
4/17/2006
7/19/2006
10/16/2006
1/22/2007
4/16/2007
7/19/2007
10/15/2007
1/23/2008
4/16/2008
7/17/2008
10/16/2008
1/22/2009
4/16/2009
7/20/2009
10/19/2009
1/27/2010
4/19/2010
7/21/2010
10/18/2010
1/26/2011
4/20/2011
7/20/2011
10/18/2011
1/26/2012
4/18/2012
7/18/2012
10/17/2012
1/28/2013
4/18/2013
7/22/2013
10/17/2013
1/28/2014
4/21/2014
7/21/2014
10/20/2014
1/29/2015
4/22/2015
7/20/2015
10/20/2015
1/28/2016
4/20/2016
07/21/2016
10/20/2016
01/30/2017
04/19/2017
