BBX
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/22/1996
10/22/1996
1/28/1997
4/16/1997
7/17/1997
10/20/1997
12/22/1998
4/21/1998
7/16/1998
10/26/1998
1/29/1999
4/20/1999
7/20/1999
10/19/1999
1/20/2000
4/25/2000
7/20/2000
10/24/2000
1/25/2001
4/24/2001
7/24/2001
10/24/2001
1/29/2002
5/1/2002
7/30/2002
10/28/2002
2/5/2003
4/30/2003
7/22/2003
10/21/2003
1/27/2004
4/19/2004
7/21/2004
10/20/2004
1/26/2005
4/19/2005
7/19/2005
10/20/2005
1/25/2006
4/26/2006
7/19/2006
10/18/2006
1/31/2007
4/26/2007
7/25/2007
10/25/2007
1/29/2008
4/28/2008
7/29/2008
10/28/2008
2/10/2009
4/22/2009
7/22/2009
10/22/2009
1/28/2010
5/4/2010
8/4/2010
11/15/2010
2/11/2011
4/25/2011
7/27/2011
11/14/2011
3/22/2012
5/1/2012
8/14/2012
11/15/2012
4/1/2013
5/15/2013
8/14/2013
11/14/2013
3/17/2014
5/13/2014
8/5/2014
10/31/2014
3/17/2015
5/11/2015
8/6/2015
11/16/2015
3/15/2016
