AMESQ
LATEST_ANNOUNCEMENT_DT
5/16/1996
8/14/1996
11/12/1996
3/13/1997
5/8/1997
8/7/1997
11/6/1997
3/12/1998
5/14/1998
8/13/1998
11/12/1998
3/25/1999
5/17/1999
8/19/1999
11/15/1999
3/16/2000
5/11/2000
8/10/2000
11/9/2000
3/22/2001
5/17/2001
8/27/2001
12/18/2001
5/3/2002
6/18/2002
