CGRM
LATEST_ANNOUNCEMENT_DT
5/28/1996
8/26/1996
12/2/1996
2/24/1997
5/28/1997
8/26/1997
12/8/1997
2/19/1998
5/19/1998
8/20/1998
12/7/1998
2/16/1999
5/18/1999
8/17/1999
12/2/1999
2/16/2000
5/15/2000
