GCI
LATEST_ANNOUNCEMENT_DT
6/12/2015
6/12/2015
6/12/2015
6/12/2015
7/29/2015
10/29/2015
2/17/2016
04/27/2016
07/27/2016
10/27/2016
02/09/2017
04/26/2017
