REX
LATEST_ANNOUNCEMENT_DT
6/4/1996
9/9/1996
12/9/1996
3/27/1997
6/3/1997
9/4/1997
12/4/1997
3/26/1998
6/3/1998
8/27/1998
12/2/1998
3/24/1999
6/3/1999
8/27/1999
12/2/1999
3/23/2000
5/31/2000
8/31/2000
11/29/2000
3/27/2001
5/31/2001
8/30/2001
11/29/2001
3/27/2002
5/30/2002
9/4/2002
12/4/2002
3/26/2003
6/3/2003
9/4/2003
12/2/2003
3/31/2004
5/28/2004
9/2/2004
11/30/2004
3/31/2005
6/2/2005
8/31/2005
11/30/2005
3/24/2006
5/26/2006
8/30/2006
12/5/2006
3/28/2007
6/5/2007
9/5/2007
11/29/2007
4/2/2008
6/5/2008
9/9/2008
12/9/2008
4/15/2009
6/9/2009
9/9/2009
12/3/2009
4/15/2010
6/3/2010
9/8/2010
12/8/2010
3/29/2011
6/1/2011
8/31/2011
11/30/2011
3/13/2012
5/30/2012
8/29/2012
12/5/2012
3/28/2013
5/22/2013
9/4/2013
12/3/2013
3/26/2014
5/28/2014
8/27/2014
12/4/2014
3/25/2015
5/21/2015
8/27/2015
12/2/2015
3/23/2016
6/2/2016
8/25/2016
11/29/2016
03/22/2017
