SOGCQ
LATEST_ANNOUNCEMENT_DT
5/2/1996
8/7/1996
11/4/1996
2/12/1997
5/6/1997
8/6/1997
11/5/1997
2/10/1998
5/4/1998
8/5/1998
11/5/1998
2/8/1999
5/12/1999
7/30/1999
11/10/1999
2/16/2000
5/10/2000
8/9/2000
11/13/2000
2/14/2001
5/10/2001
8/8/2001
11/7/2001
2/13/2002
5/8/2002
8/7/2002
11/13/2002
2/13/2003
5/8/2003
8/6/2003
11/4/2003
3/15/2004
5/5/2004
8/4/2004
11/3/2004
2/16/2005
5/4/2005
8/8/2005
11/9/2005
2/15/2006
5/9/2006
8/7/2006
11/8/2006
2/27/2007
5/8/2007
8/7/2007
11/5/2007
2/22/2008
5/5/2008
8/5/2008
11/4/2008
2/23/2009
5/4/2009
8/3/2009
11/2/2009
2/22/2010
5/3/2010
8/2/2010
11/1/2010
2/22/2011
5/2/2011
8/2/2011
10/31/2011
2/21/2012
4/30/2012
7/30/2012
10/29/2012
2/20/2013
5/6/2013
8/6/2013
11/4/2013
2/25/2014
5/6/2014
8/11/2014
11/10/2014
3/31/2015
5/11/2015
8/7/2015
11/10/2015
3/24/2016
