DCI
LATEST_ANNOUNCEMENT_DT
5/21/1992
9/18/1992
12/11/1992
2/22/1993
5/24/1993
9/20/1993
11/19/1993
2/22/1994
5/23/1994
9/26/1994
11/18/1994
2/21/1995
5/22/1995
9/25/1995
11/17/1995
2/15/1996
5/20/1996
9/23/1996
11/15/1996
2/17/1997
5/14/1997
9/19/1997
11/19/1997
2/17/1998
5/18/1998
9/15/1998
11/16/1998
2/16/1999
5/17/1999
9/13/1999
11/15/1999
2/15/2000
5/15/2000
8/30/2000
11/27/2000
2/22/2001
5/22/2001
8/28/2001
11/26/2001
2/20/2002
5/28/2002
8/26/2002
11/20/2002
2/19/2003
5/27/2003
8/27/2003
12/1/2003
2/26/2004
5/26/2004
8/31/2004
11/29/2004
2/23/2005
5/25/2005
9/14/2005
11/29/2005
2/28/2006
5/24/2006
9/5/2006
11/27/2006
2/22/2007
5/29/2007
9/4/2007
11/26/2007
2/25/2008
5/27/2008
9/2/2008
11/24/2008
2/25/2009
5/26/2009
9/1/2009
11/18/2009
2/24/2010
5/24/2010
8/30/2010
11/18/2010
2/16/2011
5/20/2011
8/29/2011
11/17/2011
2/22/2012
5/18/2012
8/27/2012
11/21/2012
2/25/2013
5/17/2013
8/27/2013
11/21/2013
2/21/2014
5/20/2014
8/27/2014
11/20/2014
2/24/2015
5/21/2015
9/1/2015
11/25/2015
03/01/2016
06/02/2016
09/08/2016
12/01/2016
03/01/2017
06/01/2017
