FC
LATEST_ANNOUNCEMENT_DT
3/21/1996
6/20/1996
9/27/1996
12/19/1996
3/19/1997
6/18/1997
9/30/1997
12/29/1997
3/24/1998
6/29/1998
9/28/1998
12/21/1998
3/16/1999
6/22/1999
10/12/1999
12/22/1999
3/23/2000
6/29/2000
10/17/2000
12/20/2000
4/10/2001
7/10/2001
11/13/2001
1/9/2002
4/9/2002
6/18/2002
11/26/2002
1/13/2003
4/14/2003
7/15/2003
11/21/2003
1/13/2004
4/13/2004
7/13/2004
11/29/2004
1/11/2005
4/12/2005
7/12/2005
11/29/2005
1/10/2006
4/11/2006
7/11/2006
11/14/2006
1/11/2007
4/12/2007
7/12/2007
11/14/2007
1/9/2008
4/10/2008
7/10/2008
11/17/2008
1/13/2009
4/9/2009
7/9/2009
11/16/2009
1/7/2010
4/6/2010
7/1/2010
11/9/2010
1/5/2011
3/31/2011
6/29/2011
11/8/2011
1/5/2012
3/29/2012
6/28/2012
11/8/2012
1/3/2013
4/4/2013
7/9/2013
11/7/2013
1/7/2014
4/3/2014
6/26/2014
11/6/2014
1/8/2015
4/1/2015
7/1/2015
11/4/2015
1/7/2016
3/31/2016
