TALX
LATEST_ANNOUNCEMENT_DT
10/28/1996
1/22/1997
5/22/1997
7/23/1997
10/22/1997
1/21/1998
5/20/1998
7/22/1998
10/21/1998
1/20/1999
5/20/1999
7/21/1999
10/20/1999
1/19/2000
5/17/2000
7/19/2000
10/18/2000
1/17/2001
4/25/2001
7/18/2001
10/17/2001
1/16/2002
4/24/2002
7/24/2002
10/23/2002
1/29/2003
5/7/2003
7/30/2003
10/29/2003
1/28/2004
5/12/2004
7/28/2004
10/27/2004
1/26/2005
5/11/2005
7/27/2005
10/27/2005
1/25/2006
5/11/2006
7/26/2006
10/25/2006
1/24/2007
5/9/2007
