UNTD
LATEST_ANNOUNCEMENT_DT
1/26/2000
10/25/1999
1/26/2000
4/27/2000
8/9/2000
11/1/2000
2/7/2001
5/10/2001
8/27/2001
10/31/2001
2/6/2002
5/9/2002
9/30/2002
4/30/2003
7/31/2003
10/30/2003
2/4/2004
5/3/2004
7/21/2004
10/25/2004
2/9/2005
5/3/2005
8/2/2005
11/2/2005
2/9/2006
5/3/2006
8/3/2006
11/2/2006
2/8/2007
5/1/2007
8/7/2007
10/25/2007
2/7/2008
5/6/2008
8/5/2008
11/5/2008
2/19/2009
5/5/2009
8/5/2009
11/4/2009
2/17/2010
5/5/2010
8/4/2010
11/3/2010
2/23/2011
5/5/2011
8/3/2011
11/2/2011
2/22/2012
5/2/2012
8/1/2012
11/1/2012
2/20/2013
4/30/2013
7/31/2013
10/30/2013
2/19/2014
4/30/2014
8/18/2014
11/4/2014
2/18/2015
5/5/2015
8/4/2015
11/3/2015
2/17/2016
