LNY
LATEST_ANNOUNCEMENT_DT
5/9/1996
7/24/1996
11/5/1996
2/13/1997
4/25/1997
7/17/1997
10/20/1997
2/6/1998
4/24/1998
7/29/1998
11/16/1998
3/2/1999
4/21/1999
7/29/1999
10/26/1999
3/6/2000
4/12/2000
7/25/2000
11/1/2000
3/1/2001
5/2/2001
7/25/2001
10/29/2001
2/4/2002
4/15/2002
8/14/2002
10/21/2002
2/12/2003
4/29/2003
7/31/2003
10/28/2003
2/11/2004
4/28/2004
7/26/2004
10/27/2004
3/8/2005
5/3/2005
7/29/2005
11/8/2005
2/22/2006
5/10/2006
8/9/2006
11/9/2006
8/10/2007
8/13/2007
8/14/2007
11/8/2007
3/11/2008
5/9/2008
8/8/2008
11/10/2008
3/16/2009
5/7/2009
7/22/2009
11/6/2009
3/11/2010
5/10/2010
8/9/2010
11/9/2010
3/16/2011
