NSHA
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/18/1996
10/17/1996
3/10/1998
4/23/1998
8/4/1998
3/10/1998
4/23/1998
8/4/1998
10/22/1998
2/9/1999
4/21/1999
7/22/1999
10/21/1999
2/22/2000
5/9/2000
8/9/2000
10/31/2000
3/30/2001
3/31/2001
7/31/2001
10/30/2001
3/19/2002
4/23/2002
7/23/2002
10/22/2002
2/11/2003
4/23/2003
7/30/2003
10/22/2003
2/11/2004
4/27/2004
7/28/2004
10/27/2004
2/16/2005
5/16/2005
8/2/2005
11/2/2005
2/15/2006
4/28/2006
8/4/2006
11/2/2006
2/15/2007
4/30/2007
8/2/2007
11/1/2007
2/14/2008
4/30/2008
7/29/2008
10/30/2008
2/24/2009
5/7/2009
8/13/2009
