AFWY
LATEST_ANNOUNCEMENT_DT
4/11/1996
7/12/1996
10/11/1996
1/24/1997
4/9/1997
7/11/1997
10/10/1997
1/23/1998
4/13/1998
7/10/1998
10/9/1998
1/22/1999
4/9/1999
7/13/1999
10/12/1999
1/21/2000
4/12/2000
7/12/2000
10/11/2000
