UNT
LATEST_ANNOUNCEMENT_DT
5/1/1996
7/31/1996
2/18/1997
4/28/1997
7/29/1997
10/28/1997
2/17/1998
4/29/1998
7/28/1998
10/27/1998
2/23/1999
4/27/1999
8/10/1999
10/26/1999
2/22/2000
4/27/2000
7/25/2000
10/25/2000
2/7/2001
4/24/2001
7/25/2001
10/23/2001
2/20/2002
4/22/2002
7/23/2002
10/23/2002
2/19/2003
4/23/2003
7/23/2003
10/22/2003
2/18/2004
4/19/2004
7/21/2004
10/27/2004
2/22/2005
5/3/2005
7/26/2005
10/26/2005
2/22/2006
4/26/2006
7/26/2006
11/2/2006
2/22/2007
5/3/2007
8/2/2007
11/1/2007
2/26/2008
5/6/2008
8/5/2008
11/4/2008
2/24/2009
5/5/2009
8/4/2009
11/3/2009
2/23/2010
5/4/2010
8/3/2010
11/4/2010
2/22/2011
5/3/2011
8/2/2011
11/2/2011
2/21/2012
5/1/2012
7/31/2012
11/1/2012
2/19/2013
5/7/2013
8/6/2013
11/5/2013
2/25/2014
5/8/2014
8/5/2014
11/4/2014
2/24/2015
5/7/2015
8/4/2015
11/3/2015
2/25/2016
05/05/2016
08/04/2016
11/03/2016
02/23/2017
05/04/2017
