RGS
LATEST_ANNOUNCEMENT_DT
4/23/1996
8/27/1996
10/29/1996
2/4/1997
4/29/1997
8/26/1997
10/23/1997
1/22/1998
4/22/1998
8/26/1998
10/27/1998
1/25/1999
4/27/1999
8/24/1999
10/26/1999
1/25/2000
4/24/2000
8/29/2000
10/24/2000
1/24/2001
5/11/2001
8/28/2001
10/22/2001
1/23/2002
4/23/2002
8/27/2002
10/29/2002
1/21/2003
4/22/2003
8/26/2003
10/28/2003
1/21/2004
4/20/2004
8/24/2004
10/27/2004
1/26/2005
4/27/2005
8/24/2005
10/26/2005
1/25/2006
4/26/2006
8/23/2006
10/25/2006
1/24/2007
4/25/2007
8/22/2007
10/22/2007
1/22/2008
4/23/2008
8/20/2008
10/23/2008
1/27/2009
4/29/2009
8/20/2009
10/29/2009
1/27/2010
4/28/2010
8/26/2010
10/28/2010
1/26/2011
4/27/2011
8/25/2011
10/27/2011
1/26/2012
4/26/2012
8/23/2012
10/25/2012
1/31/2013
5/7/2013
8/27/2013
11/5/2013
1/27/2014
4/30/2014
8/26/2014
11/4/2014
1/29/2015
4/30/2015
8/28/2015
10/29/2015
1/28/2016
04/28/2016
08/23/2016
10/27/2016
02/03/2017
04/27/2017
