WTSLQ
LATEST_ANNOUNCEMENT_DT
6/16/1996
8/21/1996
11/20/1996
3/18/1997
5/16/1997
8/19/1997
11/17/1997
3/18/1998
5/27/1998
8/19/1998
11/19/1998
3/16/1999
5/19/1999
8/24/1999
11/18/1999
3/16/2000
5/18/2000
8/15/2000
11/15/2000
4/6/2001
5/24/2001
8/23/2001
11/20/2001
3/21/2002
5/23/2002
8/22/2002
11/21/2002
3/20/2003
5/22/2003
8/21/2003
11/20/2003
3/18/2004
5/20/2004
8/19/2004
12/1/2004
4/29/2005
5/27/2005
8/29/2005
12/1/2005
3/23/2006
5/22/2006
8/18/2006
11/16/2006
3/29/2007
5/23/2007
8/23/2007
11/29/2007
3/27/2008
5/29/2008
8/21/2008
11/20/2008
3/26/2009
5/28/2009
8/20/2009
11/19/2009
3/25/2010
5/20/2010
8/19/2010
11/18/2010
3/24/2011
5/19/2011
8/18/2011
11/17/2011
3/22/2012
5/22/2012
8/21/2012
11/15/2012
3/21/2013
5/28/2013
8/27/2013
12/4/2013
3/20/2014
5/27/2014
9/10/2014
12/10/2014
