GHC
LATEST_ANNOUNCEMENT_DT
1/30/1991
2/12/1992
2/1/1993
4/27/1993
7/27/1993
10/26/1993
2/1/1994
4/26/1994
7/26/1994
10/26/1994
1/31/1995
4/25/1995
7/25/1995
10/24/1995
1/30/1996
4/23/1996
7/23/1996
10/22/1996
1/28/1997
4/22/1997
7/22/1997
10/21/1997
1/27/1998
4/24/1998
7/23/1998
10/22/1998
1/26/1999
4/23/1999
7/23/1999
11/10/1999
1/25/2000
4/24/2000
7/21/2000
10/20/2000
1/26/2001
4/20/2001
7/20/2001
10/19/2001
1/25/2002
4/19/2002
7/19/2002
10/18/2002
1/24/2003
4/22/2003
7/31/2003
10/31/2003
1/29/2004
4/28/2004
7/30/2004
10/29/2004
2/25/2005
5/6/2005
8/5/2005
11/4/2005
3/1/2006
5/5/2006
8/4/2006
11/3/2006
2/28/2007
5/4/2007
8/3/2007
11/1/2007
2/27/2008
5/2/2008
8/6/2008
10/31/2008
2/25/2009
5/1/2009
7/31/2009
10/30/2009
2/24/2010
5/7/2010
8/6/2010
11/5/2010
2/23/2011
5/6/2011
8/5/2011
11/4/2011
2/24/2012
5/4/2012
8/3/2012
11/2/2012
2/22/2013
5/3/2013
8/2/2013
11/1/2013
2/21/2014
5/2/2014
8/1/2014
10/31/2014
2/20/2015
5/1/2015
8/5/2015
11/04/2015
2/26/2016
5/4/2016
8/3/2016


