AFG
LATEST_ANNOUNCEMENT_DT
5/12/1995
8/14/1995
11/8/1995
2/29/1996
5/6/1996
8/1/1996
10/25/1996
2/26/1997
4/24/1997
7/24/1997
10/23/1997
2/24/1998
5/4/1998
7/27/1998
10/29/1998
2/23/1999
4/26/1999
7/26/1999
10/27/1999
2/16/2000
4/27/2000
7/27/2000
11/6/2000
2/12/2001
4/26/2001
8/2/2001
11/2/2001
2/13/2002
4/29/2002
7/31/2002
11/4/2002
2/19/2003
5/1/2003
7/31/2003
10/29/2003
2/12/2004
4/26/2004
7/21/2004
10/21/2004
2/10/2005
4/26/2005
8/2/2005
10/26/2005
2/13/2006
4/25/2006
8/1/2006
11/6/2006
2/12/2007
4/30/2007
7/31/2007
10/29/2007
2/11/2008
4/24/2008
7/31/2008
10/27/2008
2/9/2009
5/4/2009
7/28/2009
10/26/2009
2/9/2010
5/5/2010
8/2/2010
11/1/2010
2/3/2011
5/3/2011
8/1/2011
10/25/2011
2/1/2012
4/30/2012
7/30/2012
10/29/2012
2/11/2013
5/8/2013
7/29/2013
10/29/2013
1/30/2014
5/6/2014
7/28/2014
10/28/2014
2/2/2015
4/27/2015
8/4/2015
11/03/2015
02/02/2016
05/02/2016
08/02/2016
11/01/2016
02/01/2017
05/01/2017
