MCS
LATEST_ANNOUNCEMENT_DT
7/25/1996
9/16/1996
3/6/1997
7/24/1997
9/18/1997
3/5/1998
7/23/1998
9/24/1998
12/28/1998
7/23/1999
9/23/1999
12/22/1999
3/21/2000
7/20/2000
9/21/2000
12/20/2000
4/9/2001
7/26/2001
9/26/2001
12/20/2001
3/21/2002
7/25/2002
9/19/2002
12/19/2002
3/20/2003
7/24/2003
9/18/2003
12/18/2003
3/18/2004
7/22/2004
9/21/2004
12/16/2004
3/22/2005
7/28/2005
9/19/2005
12/15/2005
3/21/2006
7/27/2006
9/19/2006
12/19/2006
3/20/2007
7/31/2007
9/25/2007
12/20/2007
3/19/2008
7/24/2008
9/18/2008
12/18/2008
3/19/2009
7/23/2009
9/17/2009
12/17/2009
3/18/2010
7/22/2010
9/16/2010
12/16/2010
3/16/2011
7/21/2011
9/15/2011
12/15/2011
3/14/2012
7/26/2012
9/20/2012
12/20/2012
3/21/2013
7/25/2013
9/19/2013
12/19/2013
3/20/2014
7/24/2014
9/18/2014
12/18/2014
3/19/2015
7/23/2015
9/17/2015
12/17/2015
04/28/2016
07/28/2016
10/27/2016
02/23/2017
04/27/2017
