IBCP
LATEST_ANNOUNCEMENT_DT
4/11/1996
7/11/1996
10/10/1996
1/13/1997
4/10/1997
7/15/1997
10/13/1997
1/15/1998
4/13/1998
7/14/1998
10/13/1998
1/19/1999
4/13/1999
7/13/1999
10/13/1999
1/20/2000
4/13/2000
7/13/2000
10/16/2000
1/18/2001
4/17/2001
7/24/2001
10/23/2001
1/18/2002
4/16/2002
7/24/2002
10/23/2002
1/16/2003
4/16/2003
7/23/2003
10/23/2003
1/22/2004
4/22/2004
7/29/2004
10/28/2004
1/26/2005
4/25/2005
7/25/2005
10/26/2005
1/24/2006
4/24/2006
7/27/2006
10/26/2006
1/30/2007
4/23/2007
7/24/2007
10/29/2007
1/23/2008
4/24/2008
7/22/2008
10/27/2008
1/26/2009
4/23/2009
7/28/2009
10/26/2009
2/24/2010
5/10/2010
8/5/2010
11/4/2010
2/1/2011
5/2/2011
8/1/2011
10/31/2011
2/2/2012
4/23/2012
7/30/2012
10/30/2012
1/30/2013
4/22/2013
7/29/2013
10/30/2013
1/30/2014
4/21/2014
7/28/2014
10/27/2014
1/23/2015
4/20/2015
7/27/2015
10/29/2015
1/25/2016
