TBI
LATEST_ANNOUNCEMENT_DT
5/13/1996
8/12/1996
10/30/1996
2/28/1997
4/22/1997
7/23/1997
10/22/1997
2/24/1998
4/28/1998
7/28/1998
10/20/1998
2/24/1999
4/27/1999
7/27/1999
10/19/1999
2/15/2000
4/18/2000
8/14/2000
10/17/2000
2/7/2001
4/18/2001
7/18/2001
10/17/2001
2/6/2002
4/16/2002
7/16/2002
10/15/2002
2/4/2003
4/15/2003
7/15/2003
10/14/2003
2/4/2004
4/21/2004
7/21/2004
10/21/2004
2/2/2005
4/20/2005
7/20/2005
10/19/2005
2/1/2006
4/19/2006
7/19/2006
10/19/2006
1/31/2007
4/18/2007
7/18/2007
10/17/2007
1/30/2008
4/16/2008
7/16/2008
10/15/2008
2/4/2009
4/22/2009
7/22/2009
10/21/2009
2/3/2010
4/21/2010
7/21/2010
10/20/2010
2/9/2011
4/27/2011
7/27/2011
10/26/2011
2/8/2012
4/25/2012
7/25/2012
10/24/2012
2/6/2013
4/24/2013
7/24/2013
10/23/2013
2/6/2014
4/22/2014
7/24/2014
10/23/2014
2/5/2015
4/23/2015
7/22/2015
10/21/2015
2/3/2016
04/20/2016
07/20/2016
10/19/2016
02/08/2017
04/19/2017
