JNS
LATEST_ANNOUNCEMENT_DT
3/31/1999
6/30/1999
9/30/1999
5/1/2000
6/15/2000
7/20/2000
10/26/2000
1/30/2001
4/23/2001
7/25/2001
10/24/2001
1/30/2002
4/25/2002
7/25/2002
10/30/2002
1/30/2003
4/29/2003
7/30/2003
10/29/2003
2/4/2004
4/27/2004
7/22/2004
10/21/2004
1/26/2005
4/20/2005
7/28/2005
10/26/2005
1/26/2006
4/27/2006
7/27/2006
10/26/2006
1/25/2007
4/26/2007
7/26/2007
10/25/2007
1/24/2008
4/24/2008
7/24/2008
10/23/2008
1/22/2009
4/23/2009
7/14/2009
10/22/2009
1/28/2010
4/22/2010
7/22/2010
10/21/2010
1/27/2011
4/21/2011
7/21/2011
10/20/2011
1/26/2012
4/24/2012
7/26/2012
10/25/2012
1/24/2013
4/23/2013
7/25/2013
10/24/2013
1/23/2014
4/22/2014
7/23/2014
10/23/2014
1/22/2015
4/23/2015
7/23/2015
10/22/2015
01/26/2016
04/26/2016
07/26/2016
10/25/2016
01/24/2017
04/25/2017
