JKHY
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/24/1996
10/16/1996
1/20/1997
4/17/1997
7/23/1997
10/16/1997
1/16/1998
4/17/1998
7/20/1998
10/16/1998
1/19/1999
4/16/1999
7/21/1999
10/20/1999
1/19/2000
4/19/2000
7/20/2000
10/17/2000
1/17/2001
4/17/2001
7/23/2001
10/16/2001
1/16/2002
4/16/2002
7/23/2002
10/17/2002
1/16/2003
4/16/2003
7/23/2003
10/15/2003
1/19/2004
4/20/2004
7/27/2004
10/19/2004
1/19/2005
4/20/2005
8/2/2005
10/19/2005
2/2/2006
5/8/2006
8/22/2006
10/30/2006
2/7/2007
5/8/2007
8/21/2007
10/29/2007
2/6/2008
5/6/2008
8/19/2008
11/4/2008
2/3/2009
5/5/2009
8/18/2009
11/3/2009
2/2/2010
5/4/2010
8/17/2010
11/2/2010
2/1/2011
5/3/2011
8/16/2011
11/1/2011
1/31/2012
5/1/2012
8/14/2012
10/31/2012
2/5/2013
4/30/2013
8/13/2013
11/5/2013
2/4/2014
4/30/2014
8/12/2014
11/4/2014
2/3/2015
5/6/2015
8/25/2015
11/4/2015
2/2/2016
05/03/2016
08/16/2016
11/07/2016
02/07/2017
05/02/2017
