PNRA
LATEST_ANNOUNCEMENT_DT
5/16/1996
8/12/1996
11/12/1996
2/18/1997
5/20/1997
8/15/1997
11/10/1997
2/25/1998
5/27/1998
8/13/1998
11/9/1998
12/26/1998
5/28/1999
8/23/1999
11/15/1999
3/20/2000
5/23/2000
8/17/2000
11/6/2000
3/5/2001
5/24/2001
8/16/2001
11/7/2001
3/7/2002
5/30/2002
8/22/2002
11/14/2002
2/25/2003
5/15/2003
8/7/2003
10/30/2003
2/19/2004
5/13/2004
8/5/2004
10/28/2004
2/16/2005
5/17/2005
8/9/2005
11/2/2005
2/9/2006
4/26/2006
7/25/2006
10/24/2006
2/8/2007
4/24/2007
7/24/2007
10/23/2007
2/12/2008
4/29/2008
7/22/2008
10/21/2008
2/12/2009
4/28/2009
7/28/2009
10/27/2009
2/11/2010
4/27/2010
7/27/2010
10/26/2010
2/10/2011
4/26/2011
7/26/2011
10/25/2011
2/7/2012
4/24/2012
7/24/2012
10/23/2012
2/5/2013
4/23/2013
7/23/2013
10/22/2013
2/18/2014
4/29/2014
7/29/2014
10/28/2014
2/11/2015
4/28/2015
7/28/2015
10/27/2015
2/9/2016
04/26/2016
07/26/2016
10/25/2016
02/07/2017
04/25/2017
