ASEI
LATEST_ANNOUNCEMENT_DT
6/6/1996
7/31/1996
10/31/1996
2/3/1997
5/22/1997
7/24/1997
10/27/1997
1/26/1998
5/21/1998
7/20/1998
10/26/1998
1/25/1999
5/17/1999
7/29/1999
10/25/1999
1/25/2000
5/25/2000
8/7/2000
10/30/2000
1/29/2001
7/16/2001
8/2/2001
11/20/2001
2/5/2002
6/4/2002
8/2/2002
10/23/2002
2/3/2003
5/28/2003
7/30/2003
10/21/2003
1/22/2004
5/20/2004
8/2/2004
10/27/2004
2/3/2005
5/13/2005
8/5/2005
11/9/2005
2/8/2006
5/19/2006
8/9/2006
11/6/2006
2/9/2007
5/21/2007
8/6/2007
11/5/2007
2/11/2008
5/13/2008
8/11/2008
11/10/2008
2/9/2009
5/13/2009
8/6/2009
11/5/2009
2/9/2010
5/11/2010
8/9/2010
11/9/2010
2/8/2011
5/9/2011
8/4/2011
11/7/2011
2/9/2012
5/14/2012
8/2/2012
11/5/2012
2/11/2013
5/7/2013
8/5/2013
11/12/2013
2/5/2014
5/22/2014
7/31/2014
11/10/2014
2/5/2015
5/11/2015
8/6/2015
11/9/2015
2/8/2016
05/09/2016
08/04/2016
