ISSX
LATEST_ANNOUNCEMENT_DT
4/29/1998
7/29/1998
10/21/1998
1/25/1999
4/21/1999
7/19/1999
10/20/1999
1/27/2000
4/19/2000
7/18/2000
10/17/2000
1/24/2001
4/18/2001
7/18/2001
10/17/2001
1/23/2002
4/16/2002
7/18/2002
10/15/2002
1/23/2003
4/17/2003
7/16/2003
10/21/2003
1/28/2004
4/20/2004
7/21/2004
10/25/2004
1/31/2005
4/27/2005
7/27/2005
10/25/2005
1/31/2006
4/25/2006
7/31/2006
