CMALQ
LATEST_ANNOUNCEMENT_DT
5/23/1996
8/22/1996
11/22/1996
3/21/1997
5/22/1997
8/26/1997
11/24/1997
3/23/1998
5/27/1998
8/26/1998
11/25/1998
3/18/1999
6/15/1999
8/25/1999
11/23/1999
3/16/2000
5/24/2000
8/23/2000
11/17/2000
3/21/2001
