CTRP
LATEST_ANNOUNCEMENT_DT
2/23/2004
4/28/2004
8/5/2004
11/10/2004
2/22/2005
4/28/2005
8/8/2005
11/10/2005
2/23/2006
5/18/2006
8/9/2006
11/8/2006
2/12/2007
5/17/2007
8/6/2007
11/7/2007
2/27/2008
5/14/2008
8/13/2008
11/17/2008
2/8/2009
5/11/2009
8/5/2009
11/12/2009
2/2/2010
5/12/2010
8/10/2010
11/2/2010
2/13/2011
5/16/2011
8/1/2011
11/13/2011
2/21/2012
5/16/2012
7/24/2012
11/5/2012
1/31/2013
5/8/2013
7/31/2013
11/5/2013
2/12/2014
5/7/2014
7/30/2014
11/25/2014
3/19/2015
5/13/2015
8/3/2015
11/18/2015
03/16/2016
06/15/2016
08/31/2016
11/23/2016
02/22/2017
06/21/2017
